phase,scenario,model,trial,metric,value,median,p25,p75,lower_fence,upper_fence,ratio_to_median,classification
calibration,calibration-c64,Revon-M (forced Merkle),1,checkout_ms,5.8828,3.9938,3.7938,4.377800000000001,2.9177999999999993,5.253800000000002,1.472983123841955,timing variability candidate; retained in summary
calibration,calibration-c64,Revon-log calibration,5,diff_ms,0.5895,0.7862,0.77305,0.81325,0.71275,0.87355,0.7498092088527093,timing variability candidate; retained in summary
evaluation,large-hot,Dolt,5,diff_ms,218.7592,182.4091,175.30425,185.61585,159.83685,201.08325,1.1992778869036687,timing variability candidate; retained in summary
evaluation,large-hot,Dolt,3,checkout_ms,695.5429,745.6325,735.46985,758.7163,700.6001749999998,793.5859750000002,0.932822670685626,timing variability candidate; retained in summary
evaluation,large-hot,Log-only,1,diff_ms,4.1635,4.6828,4.603949999999999,4.8071,4.299224999999998,5.111825000000001,0.8891048090885795,timing variability candidate; retained in summary
evaluation,large-hot,Revon-H,6,diff_ms,3.2329,2.0306,2.0265,2.05,1.9912500000000002,2.0852499999999994,1.5920910075839652,timing variability candidate; retained in summary
evaluation,large-hot,Revon-H,1,storage_bytes,36139008.0,36110336.0,36106240.0,36118528.0,36087808.0,36136960.0,1.000794010889292,non-timing variability candidate; retained and reviewed
evaluation,large-hot,Revon-M (forced Merkle),7,initial_import_ms,4978.2717,4743.5146,4724.6278999999995,4751.34705,4684.549174999998,4791.4257750000015,1.0494901185715755,timing variability candidate; retained in summary
evaluation,large-hot,Revon-M (forced Merkle),6,storage_bytes,36163584.0,36110336.0,36106240.0,36122624.0,36081664.0,36147200.0,1.0014745916515426,non-timing variability candidate; retained and reviewed
evaluation,large-hot,Snapshot,7,incremental_commit_ms,301.9127,292.10130000000004,289.59770000000003,293.913025,283.1247125000001,300.3860125,1.0335890322980417,timing variability candidate; retained in summary
evaluation,large-sparse,Dolt,1,diff_ms,209.8352,180.77,174.81615,188.0812,154.91857499999998,207.97877499999998,1.1607855285722186,timing variability candidate; retained in summary
evaluation,large-sparse,Log-only,1,diff_ms,4.1789,4.6869,4.6696,4.8340499999999995,4.422925000000001,5.080724999999999,0.891612793104184,timing variability candidate; retained in summary
evaluation,large-sparse,Log-only,5,diff_ms,5.1724,4.6869,4.6696,4.8340499999999995,4.422925000000001,5.080724999999999,1.1035865924171628,timing variability candidate; retained in summary
evaluation,large-sparse,Log-only,4,checkout_ms,126.9679,99.8402,99.3147,104.18985,92.00197499999999,111.50257500000001,1.271711194488793,timing variability candidate; retained in summary
evaluation,large-sparse,Revon-H,5,initial_import_ms,5154.7872,4757.9246,4738.00965,4894.48085,4503.30285,5129.18765,1.083410863635796,timing variability candidate; retained in summary
evaluation,large-sparse,Revon-H,3,diff_ms,3.5775,3.0817,3.03445,3.1624999999999996,2.8423750000000005,3.3545749999999988,1.1608852256871207,timing variability candidate; retained in summary
evaluation,large-sparse,Revon-H,5,diff_ms,2.6957,3.0817,3.03445,3.1624999999999996,2.8423750000000005,3.3545749999999988,0.87474445922705,timing variability candidate; retained in summary
evaluation,large-sparse,Revon-M (forced Merkle),4,initial_import_ms,5185.2286,4792.5652,4743.40755,4879.165150000001,4539.771149999999,5082.801550000002,1.0819317805003468,timing variability candidate; retained in summary
evaluation,large-sparse,Revon-M (forced Merkle),5,diff_ms,31.221,27.1668,26.880049999999997,28.3224,24.716524999999997,30.485925,1.1492336233932594,timing variability candidate; retained in summary
evaluation,large-sparse,Revon-M (forced Merkle),4,checkout_ms,16.6553,18.9288,18.75505,20.008850000000002,16.87435,21.889550000000007,0.8798920163982926,timing variability candidate; retained in summary
evaluation,large-sparse,Revon-M (forced Merkle),7,checkout_ms,22.2259,18.9288,18.75505,20.008850000000002,16.87435,21.889550000000007,1.174184311736613,timing variability candidate; retained in summary
evaluation,large-sparse,Revon-M (forced Merkle),4,storage_bytes,36155392.0,36134912.0,36126720.0,36136960.0,36111360.0,36152320.0,1.0005667649059171,non-timing variability candidate; retained and reviewed
