run_id,timestamp_utc,phase,scenario,model,status,trial_kind,trial,execution_order,seed,rows,commits,changes_per_commit,locality,payload_bytes,workload_sha256,strategy_requested,strategy_selected,hybrid_threshold,initial_import_ms,incremental_commit_ms,diff_ms,checkout_ms,storage_bytes,logical_payload_bytes,storage_bytes_per_logical_payload_byte,storage_bytes_minus_logical_payload_bytes,storage_bytes_after_compaction,compaction_method,compaction_ms,process_tree_peak_rss_bytes,memory_method,work_examined,work_unit,changed_keys,correctness,notes,python_version,platform,dolt_version
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:42.282626+00:00,robustness,robust-s1-payload-128,Dolt,ok,warmup,2,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,1340.0058,731.4617499999999,382.5048,279.1406,3242156,1410000,2.2994014184397162,1832156,,not sampled,,147881984,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:55.117789+00:00,robustness,robust-s1-payload-128,Dolt,ok,measured,1,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,1379.816,862.0863999999999,288.1247,374.0833,3243264,1410000,2.300187234042553,1833264,,not sampled,,149295104,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:56.507705+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,measured,1,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,201.5182,42.58305,10.0876,15.7806,7655424,1410000,5.429378723404255,6245424,,not sampled,,52408320,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:57.984000+00:00,robustness,robust-s1-payload-128,Revon-H,ok,measured,1,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,248.2609,57.8499,20.8629,19.6437,7716864,1410000,5.472953191489362,6306864,,not sampled,,52809728,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:59.442117+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,measured,2,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,237.1474,48.47385,12.4131,22.9329,7680000,1410000,5.446808510638298,6270000,,not sampled,,52670464,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:33:00.989500+00:00,robustness,robust-s1-payload-128,Revon-H,ok,measured,2,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,296.2469,51.65995,7.2336,18.7908,7692288,1410000,5.455523404255319,6282288,,not sampled,,52498432,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:33:11.666360+00:00,robustness,robust-s1-payload-128,Dolt,ok,measured,2,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,959.8937,702.97785,296.1445,324.2886,3242341,1410000,2.2995326241134753,1832341,,not sampled,,165670912,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:33:12.940539+00:00,robustness,robust-s1-payload-128,Revon-H,ok,measured,3,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,236.9141,41.39435,7.3746,18.573,7684096,1410000,5.449713475177305,6274096,,not sampled,,52367360,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:33:25.491712+00:00,robustness,robust-s1-payload-128,Dolt,ok,measured,3,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,1179.7181,922.8405,314.2257,296.3267,3242613,1410000,2.2997255319148935,1832613,,not sampled,,149794816,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:33:26.925370+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,measured,3,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,191.3481,53.64295,12.8759,17.5412,7692288,1410000,5.455523404255319,6282288,,not sampled,,52797440,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
